Z05	NAME	CANTON	PTOT	P0004M	P0004F	P0509M	P0509F	P1014M	P1014F	P1519M	P1519F	PJEUNES	PROP_JEUNES
2010	Cheyres-Enclaves	FR	6003	162	208	192	209	235	226	177	138	1547	0.257704481
2011	Cugy-Vernay	FR	6125	241	203	213	217	208	235	211	250	1778	0.290285714
2013	Basse-Broye FR	FR	7144	236	200	245	190	209	207	243	210	1740	0.24356103
2015	Estavayer-le-Lac	FR	5228	146	153	156	89	143	148	139	169	1143	0.218630451
2029	Montagny-Noréaz	FR	6663	214	152	188	189	204	208	266	293	1714	0.257241483
2096	Romont	FR	4469	86	121	171	113	120	94	167	165	1037	0.232042963
2097	Rue	FR	5218	176	111	222	172	215	153	226	193	1468	0.281333844
2113	Vuisternens-Siviriez	FR	6998	244	239	207	228	210	198	312	293	1931	0.275935982
2115	Torny-Le Glèbe	FR	7238	309	258	253	277	255	293	250	274	2169	0.299668417
2124	Broc-Jogne	FR	5713	111	77	169	149	172	179	136	125	1118	0.195694031
2125.1	Bulle Ville	FR	5160	209	143	80	114	122	76	115	151	1010	0.195736434
2125.2	Bulle Dardens-Carô	FR	5896	175	143	183	124	202	205	242	283	1557	0.264077341
2125.3	Bulle Bouleyres-Jéricho	FR	4235	136	113	103	114	98	76	116	112	868	0.204958678
2125.4	Bulle-La Tour Le Pâquier	FR	5259	200	126	151	162	238	169	158	165	1369	0.260315649
2135	Gruyères-Intyamon	FR	5691	172	147	187	146	158	187	218	158	1373	0.241258127
2148	La Sionne	FR	8055	248	245	229	296	292	333	275	309	2227	0.27647424
2149	Berra-Gibloux	FR	7460	208	225	234	244	292	206	312	282	2003	0.26849866
2175	Belfaux-La Sonnaz	FR	4871	112	164	136	150	177	181	195	208	1323	0.271607473
2183	Avry-Matran-Corminboeuf	FR	5173	137	107	178	137	171	154	217	183	1284	0.248211869
2196.11	Fribourg Vieille-Ville	FR	4659	146	139	127	69	84	68	89	105	827	0.177505903
2196.12	Fribourg Beauregard	FR	4229	120	176	113	87	59	132	144	68	899	0.212579806
2196.13	Fribourg Jura-Poya	FR	4665	92	86	120	80	155	124	215	149	1021	0.21886388
2196.14	Fribourg Pérolles	FR	4845	95	144	135	87	86	100	104	100	851	0.175644995
2196.15	Fribourg Neuveville-Bourguillon-Gottéron	FR	4174	110	157	105	107	123	125	167	134	1028	0.246286536
2196.17	Fribourg Schönberg	FR	4953	148	177	134	177	181	146	152	143	1258	0.253987482
2196.19	Fribourg Places	FR	4258	166	131	108	119	87	67	124	133	935	0.21958666
2197	Givisiez-Granges-Paccot	FR	6211	149	237	191	141	145	175	241	174	1453	0.233939784
2206	Marly	FR	7674	179	188	187	212	243	222	259	262	1752	0.228303362
2220	Le Mouret	FR	6747	148	140	165	202	224	245	275	271	1670	0.247517415
2228.1	Villars-sur-Glâne Village-Moncor	FR	6833	130	177	188	188	197	219	321	212	1632	0.238840919
2228.2	Villars-sur-Glâne Cormanon-Daillettes	FR	5130	212	161	187	166	130	124	157	137	1274	0.24834308
2233	Hauterive-Farvagny	FR	6891	251	226	261	258	256	244	228	216	1940	0.281526629
2234	La Brillaz-Cottens	FR	7429	177	275	277	239	247	219	269	294	1997	0.268811415
2254	Courtaman-Misery	FR	4977	143	218	177	200	179	137	152	193	1399	0.281093028
2259	Galmiz-Salvenach	FR	4380	86	78	110	138	146	101	172	94	925	0.211187215
2262	Gurmels-Courgevaux	FR	6900	159	132	179	184	216	218	248	268	1604	0.232463768
2265	Kerzers	FR	5008	126	146	126	123	150	140	210	173	1194	0.23841853
2275	Murten	FR	5997	150	189	145	135	212	205	144	129	1309	0.218275805
2280	Villarepos-Vully	FR	5128	171	99	195	133	168	173	153	128	1220	0.237909516
2293	Düdingen	FR	7476	178	204	237	182	155	189	220	222	1587	0.212279294
2294	Giffers-St.Ursen	FR	6697	187	158	185	155	214	235	183	216	1533	0.228908466
2299	Plaffeien-Jaun	FR	4732	72	140	93	131	126	133	183	197	1075	0.227176669
2305	Schmitten-Bösingen	FR	7028	224	153	161	107	207	191	238	273	1554	0.221115538
2306	Tafers-Alterswil	FR	8198	275	224	193	204	207	203	272	268	1846	0.225176872
2309	Flamatt	FR	7641	221	174	245	219	206	202	217	257	1741	0.227849758
2321	Attalens	FR	5862	218	184	214	191	251	175	239	184	1656	0.282497441
2325	Châtel-St-Denis	FR	6160	247	206	226	158	192	149	161	219	1558	0.252922078
2336	Haute-Broye	FR	4718	191	157	151	166	135	173	209	159	1341	0.284230606
6002.1	Brig-Glis Stadt	VS	4367	74	91	56	58	59	61	108	94	601	0.137623082
6002.2	Brig-Glis Glis	VS	4077	94	77	81	52	104	83	198	198	887	0.217561933
6002.3	Brig-Simplonpass	VS	6188	169	135	123	168	167	202	169	171	1304	0.210730446
6007	Naters	VS	8169	205	203	206	155	210	155	201	198	1533	0.187660668
6022	Chamoson-Ardon	VS	5858	155	196	151	119	206	177	206	226	1436	0.245134858
6023	Conthey	VS	8686	241	282	218	167	267	247	275	251	1948	0.224268939
6024	Nendaz-Veysonnaz	VS	6103	183	177	205	106	156	203	171	163	1364	0.223496641
6025	Vétroz	VS	5168	99	156	175	139	193	159	188	165	1274	0.246517028
6031	Bagnes	VS	7865	267	230	219	158	172	232	249	260	1787	0.227209154
6034	Entremont	VS	8127	274	238	248	262	258	247	281	287	2095	0.2577827
6057	Goms	VS	6974	161	133	55	137	107	96	218	196	1103	0.158158876
6082	Grimisuat-Ayent	VS	7977	166	185	230	208	202	198	305	214	1708	0.214115582
6083	Val d'Hérens	VS	6144	139	121	114	126	175	100	213	177	1165	0.189615885
6110	Leuk- Leukerbad	VS	7603	201	151	156	155	168	227	197	175	1430	0.188083651
6118	Gampel-Steg Lötschental	VS	7376	170	97	167	161	231	221	233	310	1590	0.215563991
6133	Fully	VS	8849	234	277	271	285	278	203	321	290	2159	0.243982371
6136.1	Martigny Ville	VS	5085	126	90	151	82	137	132	158	161	1037	0.203933137
6136.2	Martigny Bourg	VS	6109	204	123	199	151	171	172	220	171	1411	0.230970699
6136.3	Martigny La Bâtiaz-Finettes	VS	6441	186	208	198	173	156	183	190	214	1508	0.234125136
6137	Forclaz-Trient	VS	3646	93	71	99	77	80	96	83	82	681	0.186780033
6139	Riddes-Leytron	VS	6377	200	161	233	158	170	185	206	180	1493	0.234122628
6141	Saxon-Saillon	VS	9275	254	361	308	247	283	284	300	240	2277	0.245498652
6152	Collombey-Muraz	VS	7402	293	133	185	224	197	230	262	281	1805	0.243853013
6153.1	Monthey Ville-Outrevièze-Choëx	VS	5245	96	107	144	137	177	191	149	189	1190	0.226882745
6153.2	Monthey Vièze	VS	4624	86	103	88	95	110	113	153	143	891	0.192690311
6153.3	Monthey Poisy-Hautavy	VS	4857	134	163	140	75	136	131	179	166	1124	0.231418571
