Z05_RES	NAME	CANTON	ADCTOT	ADCDIR	ADCLIB	ADCIND	ADCFARM	ADCMGKN	ADCINT	ADCEMP	ADCWORK	ADCUNQ	ADCAPP	ADCUNE	PNSCHB	PNSCHN	PNSFOR1	PNSFOR2	PMSSIN	PMSMARR	PMSWID	PMSDIV	PRPROT	PRCATH	PROCHR	PRJEW	PRMUSL	PROTH	PRNOREL	PRUNKN	PFOBL	PFGEN	PFPROF	PFMAT	PFPRSF	PFPRSS	PFBAC	PFMAS	PFPHD
1	Reppischtal	ZH	2697	90	16	230	38	712	730	631	142	108	93	94	2920	591	745	78	1445	2344	232	406	1545	1038	254	8	24	80	1432	47	478	275	1481	441	539	235	263	537	111
2.1	Affoltern am Albis Zentrum	ZH	3900	69	47	224	16	673	910	1192	402	367	237	207	3695	1078	1471	189	2123	3504	318	649	1974	1981	597	7	597	68	1328	42	1193	440	2594	541	581	187	266	438	100
2.2	Affoltern am Albis-Zwillikon Hedingen	ZH	3417	102	41	253	39	613	831	969	320	249	219	139	3724	672	867	126	1753	3050	342	411	2344	1369	313	8	313	17	1126	65	813	316	2392	379	558	250	214	406	103
3	Bonstetten	ZH	2799	63	46	232	16	713	636	861	160	72	60	74	3121	719	514	52	1472	2575	169	299	1750	1269	215	7	44	78	1121	30	469	243	1878	450	440	147	234	459	132
4	Oberalbis	ZH	2784	42	34	269	85	621	735	622	292	84	157	83	3515	351	375	8	1375	2428	187	392	1848	1211	194	8	51	27	1004	39	496	266	1648	350	516	260	168	405	158
9	Mettmenstetten	ZH	3682	23	39	271	71	717	1147	852	310	252	222	140	4333	504	800	81	1845	3409	174	484	2333	1740	511	0	84	58	1101	84	857	456	2269	435	759	265	185	496	102
10	Obfelden-Ottenbach	ZH	3543	46	50	261	23	647	787	1024	464	241	174	84	3991	672	822	87	1636	3455	235	398	1965	1594	569	0	226	56	1287	26	726	377	2477	505	599	270	194	393	38
14	Wettswil-Aesch	ZH	3147	165	101	202	31	835	804	716	132	161	96	116	3553	709	697	91	1349	3180	239	417	1941	1502	232	16	61	99	1279	56	468	268	1870	429	802	204	237	700	141
27	Feuerthalen-Flurlingen	ZH	2684	25	64	182	9	611	663	778	176	176	135	58	2764	544	747	95	1373	2256	213	439	1839	928	256	8	197	34	982	38	629	243	1751	347	463	181	243	231	96
28	Henggart-Irchel	ZH	3047	54	8	210	102	519	821	933	310	90	236	40	4087	378	399	41	1393	3077	186	373	2973	719	385	0	33	18	826	74	605	382	2363	310	593	235	102	248	73
30	Andelfingen-Marthalen	ZH	3862	46	62	239	111	669	995	1026	460	254	285	94	4788	647	616	54	1723	3638	281	604	3439	1279	336	0	99	30	1004	60	890	441	2632	378	844	309	208	403	71
34	Rheinfall-Trüllikon	ZH	2691	47	31	175	38	549	752	719	277	103	142	73	3401	442	540	52	1254	2784	214	349	2497	804	289	0	58	27	880	46	489	286	2115	358	617	176	207	238	70
52.1	Bassersdorf Dorf	ZH	2833	59	8	141	0	521	703	879	230	292	86	164	2655	777	1016	152	1590	2613	193	358	1637	1324	397	10	337	110	924	16	723	389	1879	465	434	155	178	381	18
52.2	Bassersdorf Unterbassersdorf-Baltenswil	ZH	3187	16	31	188	0	689	773	1078	202	210	83	80	2743	927	812	126	1478	2726	130	336	1668	1185	306	0	355	110	1008	40	639	330	2022	330	535	106	267	348	31
53.1	Bülach Stadt	ZH	3379	39	0	230	0	690	875	1092	208	245	185	171	3290	867	972	168	2065	2449	281	660	1902	1400	346	15	402	109	1189	90	883	426	2152	413	552	212	324	328	32
53.2	Bülach West	ZH	2943	18	17	147	8	590	682	826	319	336	113	136	2402	819	1144	148	1696	2309	171	439	1400	1189	561	8	541	75	808	33	897	362	1854	295	362	106	223	269	54
53.3	Bülach Nord	ZH	2948	54	54	134	8	527	846	884	174	267	124	118	3265	655	842	78	1565	2586	231	584	1951	1268	487	0	363	40	816	40	767	385	1960	338	476	125	308	327	103
54	Dietlikon	ZH	3520	50	7	204	0	662	875	1014	232	476	151	151	3376	1031	1210	125	1840	3107	292	636	2077	1692	375	16	548	39	1086	43	1100	400	2258	415	466	263	271	454	39
55	Eglisau	ZH	2485	47	62	162	23	564	574	649	243	161	61	67	2525	520	718	81	1126	2223	208	407	1509	947	264	0	211	51	964	16	474	242	1513	402	448	162	151	339	78
56	Embrach	ZH	4464	52	40	198	8	581	1240	1460	489	396	145	202	4299	1221	1500	179	2062	4262	358	737	2792	1956	481	8	646	153	1276	107	1323	498	3227	506	686	192	231	305	160
58	Glattfelden	ZH	2326	65	8	143	0	407	560	656	253	234	120	98	2288	410	737	114	1165	2027	126	329	1454	877	297	16	166	9	788	40	550	257	1592	249	385	41	178	215	48
59	Bachenbülach-Winkel	ZH	4006	99	49	254	8	885	996	1178	270	267	120	111	4225	982	1048	150	1911	3779	292	598	2363	1717	612	0	279	139	1412	58	802	525	2697	602	651	293	273	432	161
60	Hörifeld	ZH	4655	26	32	296	15	614	1213	1462	520	477	287	278	4460	1024	1829	206	2216	4429	343	706	2748	2302	625	0	549	61	1352	56	1622	528	3490	409	669	201	151	313	67
62.1	Kloten Dorf	ZH	2707	26	10	120	0	359	721	812	243	416	122	242	1942	902	1412	157	1551	2266	200	542	1095	1281	690	8	458	185	786	55	981	508	1735	328	365	70	178	196	36
62.2	Kloten Süd	ZH	3389	54	17	72	0	433	856	1269	215	473	121	132	2966	996	1463	120	1816	2882	306	705	1597	1592	580	0	409	207	1258	65	839	571	2409	499	425	125	299	300	25
62.3	Kloten Nord	ZH	3177	33	16	162	8	528	764	1079	177	410	126	130	2763	831	1096	133	1517	2601	257	554	1597	1539	436	0	256	132	903	65	892	356	2008	435	358	175	236	254	16
64	Nürensdorf	ZH	2952	116	31	273	16	554	788	856	235	83	100	78	3448	512	496	96	1283	2689	219	487	1878	1258	224	0	130	66	1060	60	441	262	2167	410	537	182	204	334	63
66.1	Opfikon Dorf	ZH	2019	31	0	150	8	392	467	504	137	330	51	114	1565	508	1044	135	893	1850	180	427	960	978	211	0	424	105	612	59	653	252	1154	353	225	98	210	207	26
66.2	Opfikon Glattbrugg	ZH	2763	9	0	201	0	269	662	610	253	759	166	310	1273	1014	2526	183	1625	2681	241	514	838	1350	569	9	1052	284	882	77	1726	432	1464	325	342	82	175	197	43
66.3	Opfikon Glattpark	ZH	2971	42	18	90	0	617	742	876	254	332	70	167	1450	938	1700	149	1666	2065	85	475	768	1223	465	0	568	212	1000	56	702	251	1492	419	414	92	256	419	50
67	Rafzerfeld	ZH	3699	88	16	208	86	661	935	1057	394	254	237	60	4359	580	816	105	1773	3466	298	463	2869	1000	551	10	167	23	1314	65	873	345	2718	438	595	203	285	311	85
69.1	Wallisellen Dorf-Berg	ZH	2312	33	16	110	0	584	621	634	93	221	75	103	2115	632	788	87	1259	1953	182	353	1247	1048	302	0	219	46	854	31	549	286	1409	292	372	195	176	331	72
69.2	Wallisellen Rieden	ZH	2285	46	23	150	0	450	641	672	153	150	88	162	2452	606	827	87	1296	1995	307	506	1544	1093	236	0	207	46	963	15	510	346	1685	346	414	156	118	363	117
69.3	Wallisellen Hof-Neugut	ZH	2807	69	15	186	0	599	700	639	181	418	62	159	1754	776	1397	115	1520	2110	147	421	875	1359	311	0	367	58	1195	32	698	314	1255	383	446	124	282	405	91
83	Buchs ZH	ZH	3209	39	16	183	0	533	722	1091	252	373	138	158	2840	714	1024	166	1646	2582	114	518	1601	1308	410	8	437	51	1011	33	829	331	2062	261	552	185	149	311	25
84	Furttal-Süd	ZH	3475	24	32	245	30	596	742	993	356	457	219	142	3236	865	1071	158	1534	3332	199	429	1734	1787	247	9	511	51	1089	65	1150	318	2412	263	476	191	238	221	48
86	Dielsdorf	ZH	3086	15	23	176	16	509	822	987	288	250	144	94	2704	667	1175	69	1464	2545	231	507	1604	1374	294	0	418	33	1000	24	774	378	2081	416	431	111	190	189	39
