Z05_RES	NAME	typologie_ofs	typologie_binaire	PFNONE	PFOBL	PFGEN	PFPROF	PFMAT	PFPRSF	PFPRSS	PFBAC	PFMAS	PFPHD	PFS	PFPRES	ADO	ADUNE	NADFM	NADHO	NADRET	NADINV	NADOTH	ADM	ADF	AD3PRIM	AD3SEC	AD3TERT	ADD1AGR	ADD2EXT	ADD2BAS	ADD2HEA	ADD2LIT	ADD2IS	ADD2CST	ADD3TRD	ADD3TRS	ADD3ACC	ADD3IT	ADD3FIN	ADD3RE	ADD3PRO	ADD3SUP	ADD3ADM	ADD3EDU	ADD3HC	ADD3SOC	ADD3REC
1	Reppischtal	Espace sous influence des centres urbains	N	0.007950028	0.090478895	0.052053757	0.280333144	0.083475298	0.102025364	0.044482302	0.049782321	0.101646792	0.021010789	0.117357562	0.049403748	0.968708389	0.031291611	0.118508655	0.072569907	0.260319574	0.005326232	0.017310253	0.531624501	0.468375499	0.028287462	0.159785933	0.811926606	0.028287462	0.003058104	0.043577982	0	0.064220183	0	0.048929664	0.118119266	0.024847095	0.012614679	0.04969419	0.177370031	0.021788991	0.154051988	0.028669725	0.038608563	0.056957187	0.04969419	0.036314985	0.003440367
2.1	Affoltern am Albis Zentrum	Espace des centres urbains	U	0.020737023	0.157574957	0.058116497	0.342623167	0.071456875	0.076740193	0.024699511	0.035134064	0.057852331	0.013208295	0.090080571	0.051776516	0.954604976	0.045395024	0.051505893	0.074203405	0.252291576	0.047140986	0.010475775	0.542557835	0.457442165	0.008869742	0.225038013	0.766092245	0.008869742	0.004054739	0.024581855	0.014698429	0.074505829	0.011403953	0.095793208	0.182716675	0.035478966	0.069944247	0.054738976	0.076533198	0.009883426	0.075266092	0.036746072	0.029650279	0.041561075	0.072985302	0.033451597	0.009883426
2.2	Affoltern am Albis-Zwillikon Hedingen	Espace des centres urbains	U	0.011534375	0.123387464	0.047958719	0.363029291	0.057520109	0.084686599	0.037942025	0.032478373	0.061617848	0.015632114	0.11412961	0.050083472	0.964212679	0.035787321	0.08793456	0.042433538	0.25	0.027351738	0.01303681	0.533997955	0.466002045	0.004441812	0.190109565	0.805448623	0.004441812	0	0.024578028	0.009771987	0.101865561	0.010364229	0.04352976	0.176191886	0.05419011	0.026354753	0.035534498	0.094758662	0.012437074	0.08320995	0.033757773	0.059520284	0.057447439	0.096535386	0.043233639	0.005330175
3	Bonstetten	Espace sous influence des centres urbains	N	0.009511615	0.085787452	0.044448509	0.343515639	0.082312054	0.080482897	0.026888604	0.042802268	0.083958295	0.024144869	0.115602707	0.060545089	0.975856444	0.024143556	0.103752039	0.073735726	0.262642741	0.010114192	0.022185971	0.514845024	0.485154976	0.011434895	0.135374401	0.853190705	0.011434895	0.003319808	0.033566949	0.015123571	0.041313169	0.005901881	0.036149023	0.162670601	0.049797123	0.040206566	0.060494283	0.150866839	0.011434895	0.119513095	0.029509406	0.042788639	0.068978237	0.057174474	0.032829214	0.005901881
4	Oberalbis	Espace sous influence des centres urbains	N	0.010620765	0.090825856	0.048709028	0.301776231	0.064090826	0.094488189	0.047610328	0.030763596	0.074162241	0.02893243	0.160227065	0.047793444	0.974167445	0.025832555	0.059446001	0.055399938	0.22875817	0.01774043	0.002489885	0.512605042	0.487394958	0.04795022	0.179721816	0.772327965	0.04795022	0	0.024158126	0.009150805	0.060029283	0.002928258	0.083455344	0.125915081	0.032210835	0.033674963	0.034040996	0.057833089	0.008418741	0.121156662	0.040629575	0.053806735	0.103221083	0.068814056	0.049048316	0.005856515
9	Mettmenstetten	Espace sous influence des centres urbains	N	0.006007724	0.122586182	0.06522672	0.324560149	0.062222858	0.108568159	0.037905879	0.026462595	0.070948362	0.014590187	0.117293663	0.043627521	0.966370406	0.033629594	0.091520538	0.060533269	0.229401874	0.017055008	0.018976699	0.544559212	0.455440788	0.043769166	0.253693895	0.702536939	0.043769166	0.006690828	0.045720658	0.017842208	0.101198773	0.012266518	0.069974909	0.132701422	0.027042096	0.030666295	0.025369389	0.091162531	0.002230276	0.090883747	0.024533036	0.054920546	0.080289936	0.07248397	0.038751045	0.01366044
10	Obfelden-Ottenbach	Espace sous influence des centres urbains	N	0.013772108	0.105247898	0.054653523	0.359089591	0.073209626	0.086836764	0.03914178	0.028124094	0.056973036	0.005508843	0.116990432	0.060452305	0.979255186	0.020744814	0.066983254	0.065483629	0.24643839	0.027993002	0.020994751	0.531617096	0.468382904	0.01863354	0.245059289	0.736307171	0.01863354	0.004517222	0.018915867	0.019762846	0.097120271	0.011010728	0.093732355	0.16177301	0.012987013	0.029644269	0.049971767	0.100508187	0.008752117	0.085262564	0.042066629	0.049689441	0.062394128	0.059006211	0.048560136	0.014116318
14	Wettswil-Aesch	Espace sous influence des centres urbains	N	0.004157339	0.074832107	0.042852574	0.299008634	0.068596098	0.128237928	0.032619124	0.037895747	0.111928366	0.022545571	0.122321714	0.055004797	0.966483675	0.033516325	0.067899451	0.079456804	0.329384571	0.004911875	0.016758162	0.566021381	0.433978619	0.021262234	0.119473507	0.859264259	0.021262234	0	0.008099899	0.013162335	0.047586905	0.010799865	0.039824502	0.154235572	0.035437057	0.023624705	0.051299359	0.164360445	0.007762403	0.154235572	0.038812015	0.048599393	0.042861964	0.080661492	0.021262234	0.008099899
27	Feuerthalen-Flurlingen	Espace des centres urbains	U	0.013701274	0.121381706	0.046893091	0.337900425	0.066962563	0.089347742	0.034928599	0.046893091	0.044577383	0.018525666	0.110575068	0.068313393	0.980685981	0.019314019	0.06993007	0.085581086	0.222111222	0.023976024	0.021312021	0.539460539	0.460539461	0.014990859	0.280804388	0.704204753	0.014990859	0.001828154	0.033272395	0.067641682	0.10274223	0	0.075319927	0.136380256	0.046800731	0.02047532	0.047897623	0.06654479	0.008775137	0.065813528	0.036928702	0.037659963	0.063985375	0.068007313	0.054478976	0.012065814
28	Henggart-Irchel	Espace sous influence des centres urbains	N	0.013933895	0.098023331	0.061892417	0.382858069	0.050226831	0.096079067	0.038075178	0.016526248	0.040181465	0.011827609	0.133182113	0.057193778	0.988538682	0.011461318	0.077936963	0.086246418	0.246418338	0.016332378	0.014326648	0.527793696	0.472206304	0.064193548	0.180322581	0.755483871	0.064193548	0	0.023548387	0.007741935	0.062580645	0.007741935	0.078709677	0.152903226	0.063870968	0.034516129	0.035806452	0.078709677	0.00516129	0.061935484	0.040322581	0.064193548	0.075483871	0.065483871	0.049677419	0.007419355
