Z05	NAME	PTOT	NON_PEND	INTRA_COM_PEND	INTER_COM_PEND	PEND_MD	PEND_AUTO	PEND_TP	AGE_0_19	AGE_20_39	AGE_40_64	AGE_65_PLUS	EDU_PRE	EDU_BAS	EDU_MOY	EDU_HAUT	SECT_PRI	SECT_SEC	SECT_TER	REV_0_40K	REV_40K_80K	REV_80K_150K	REV_150K_PLUS	BATI_BAS	BATI_HAUT	FOY_1_PERS	FOY_COUPLES	FOY_ENF	FOY_GRANDS_ENF	FOY_MONO_ENF	FOY_MULTI	FOY_COLOC
1	Reppischtal	5214	0.088193457	0.068278805	0.843527738	0.013739802	0.636324603	0.349935595	0.233218259	0.216915995	0.411584196	0.13828155	0.16676131	0.15048268	0.510316108	0.172439902	0.028287462	0.159785933	0.811926606	0.095286538	0.352322821	0.419803323	0.060698542	0.881644224	0.118355776	0.28057222	0.317489617	0.30410706	0.023996308	0.059067836	0.005076142	0.021688971
2.1	Affoltern am Albis Zentrum	7295	0.033542977	0.234800839	0.731656184	0.088292819	0.478625314	0.433081866	0.203289925	0.267717615	0.383413297	0.145579164	0.141857086	0.236428477	0.515519746	0.10619469	0.008869742	0.225038013	0.766092245	0.173913043	0.759834369	0.173913043	0.017184265	0.784591195	0.215408805	0.358020124	0.29899278	0.236109378	0.03322142	0.045086213	0.008305355	0.01690733
2.2	Affoltern am Albis-Zwillikon Hedingen	6666	0.073821847	0.119041133	0.80713702	0.033482143	0.536033163	0.430484694	0.241224122	0.229522952	0.392289229	0.136963696	0.164213082	0.182880559	0.543178024	0.109728335	0.004441812	0.190109565	0.805448623	0.162566845	0.594117647	0.308823529	0.035026738	0.889858966	0.110141034	0.335918223	0.288332746	0.287627776	0.028551287	0.052167783	0.00281988	0.017976736
3	Bonstetten	5522	0.05829904	0.067901235	0.873799726	0.00976801	0.546601547	0.443630444	0.236689605	0.238862731	0.385005433	0.139442231	0.176147796	0.139747576	0.533199195	0.150905433	0.011434895	0.135374401	0.853190705	0.085353363	0.481051553	0.390235575	0.031751451	0.864814815	0.135185185	0.294491525	0.338135593	0.291101695	0.028389831	0.05	0.004661017	0.009322034
4	Oberalbis	5485	0.094498382	0.113268608	0.79223301	0.031162605	0.703555733	0.265281662	0.267092069	0.201640839	0.387055606	0.144211486	0.208020509	0.150155649	0.507965574	0.133858268	0.04795022	0.179721816	0.772327965	0.162860981	0.589993284	0.313969107	0.069509738	0.919776119	0.080223881	0.292003594	0.333333333	0.291554358	0.030098832	0.046271339	0	0.009433962
9	Mettmenstetten	6704	0.059360731	0.115677321	0.824961948	0.045905707	0.605148883	0.348945409	0.245375895	0.223299523	0.387082339	0.144242243	0.160921184	0.193820627	0.533257045	0.112001144	0.043769166	0.253693895	0.702536939	0.156024717	0.490731205	0.30561277	0.052265705	0.872519543	0.127480457	0.257414866	0.320029293	0.314902966	0.032222629	0.045038447	0.006957159	0.020505309
10	Obfelden-Ottenbach	7151	0.068658281	0.103773585	0.827568134	0.052112242	0.66728338	0.280604379	0.236190743	0.23311425	0.38693889	0.143756118	0.177442737	0.173673529	0.558277762	0.090605973	0.01863354	0.245059289	0.736307171	0.100024759	0.67269126	0.432532805	0.020549641	0.913580247	0.086419753	0.244706699	0.329746616	0.318639361	0.032974662	0.056230476	0.004512322	0.013884068
14	Wettswil-Aesch	6449	0.085099846	0.047004608	0.867895545	0.011746874	0.563471012	0.424782114	0.218483486	0.207008839	0.386571561	0.187936114	0.177326511	0.121842021	0.528461784	0.172369683	0.021262234	0.119473507	0.859264259	0.112359551	0.267166042	0.335830212	0.108302122	0.902189781	0.097810219	0.304270463	0.338790036	0.290035587	0.025622776	0.039145907	0.003558719	0.009252669
27	Feuerthalen-Flurlingen	5362	0.064382139	0.074766355	0.860851506	0.087996756	0.625304136	0.286699108	0.233494965	0.263521074	0.378217083	0.124766878	0.17888846	0.181976071	0.529139328	0.10999614	0.014990859	0.280804388	0.704204753	0.273463876	0.467927076	0.282241729	0.057731263	0.886481802	0.113518198	0.356485356	0.277824268	0.273640167	0.020502092	0.043514644	0.007531381	0.015481172
28	Henggart-Irchel	6170	0.110813226	0.065832589	0.823354185	0.040853883	0.679425837	0.27972028	0.252188006	0.191734198	0.406969206	0.14910859	0.190375891	0.173849644	0.567239145	0.068535321	0.064193548	0.180322581	0.755483871	0.121046578	0.54772858	0.311385854	0.02213916	0.95663397	0.04336603	0.245814618	0.348713761	0.336463863	0.025724786	0.035933034	0.003266639	0.005308289
