adv_id	lat	lng	nombre_pieces	surface_habitable	loyer_mois
100513760	47.365218	8.564631	1	30	2300
101524704	47.356513	7.984905	4.5	87	1390
102182223	46.2027	6.165245	3	60	3200
102194975	47.562103	7.591099	3	70	1670
102532546	47.562103	7.591099	3	70	1670
102593911	47.476591	9.490726	3.5	100	1570
102621336	47.44386	8.80001	4.5	109	2130
102622119	47.44386	8.80001	3.5	83	1890
102661598	45.832319	9.021472	3.5	90	1250
102719409	47.44386	8.80001	4.5	117	2690
102746060	47.562103	7.591099	1.5	58	1130
102754353	47.3002492	8.5261931	3.5	110	2950
102773556	47.3435659	8.244865	1	114	1980
102833529	47.566884	7.837271	5	155	2490
102833680	47.020511	7.511736	4.5	90	1510
102883297	46.801724	7.1454243	1	25	595
102896317	47.2236561	7.2032546	4	83	990
102920100	47.1873109	7.379835	5.5	120	1460
102936617	46.797599	7.120219	4.5	92	1650
102939768	47.331603	8.539892	4.5	130	4490
102942452	47.710642	8.640131	5.5	154	2885
102947256	46.6061825	6.2291145	1	34	980
102957941	47.492727	8.252929	3	60	1435
102962322	46.622493	7.061834	4.5	103	1730
102964477	47.56184	8.89315	5.5	139	2630
102967563	47.363507	7.898549	3.5	81	1115
102972912	47.2140744	7.5078395	3.5	82	1344
102974474	47.300403	9.1749287	5	110	1500
102976364	47.559205	7.573523	1	30	1260
102988579	47.1873109	7.379835	3.5	70	820
103002358	47.3635495	8.3674126	5.5	167	3970
103002359	47.3635495	8.3674126	4.5	111	2530
103005785	46.74315	7.08384	5.5	162	2160
103008085	47.3815227	7.9499134	4.5	90	1325
103010772	47.563698	7.837907	3.5	92	1910
103012478	47.5710475	7.667721	4.5	111	2616
103021552	46.815063	7.1398	5	115	1900
103021651	46.7691464	7.6011699	4.5	100	1940
103023377	47.4056819	8.5544871	3.5	80	2900
103029715	47.401941	8.495982	3.5	90	2750
103030157	47.337295	7.246437	4.5	100	1430
103030627	47.496395	7.726125	3.5	72	1500
103032731	47.3435659	8.244865	1	100	1740
103037708	47.205856	7.559331	4.5	85	1391
103038100	47.576016	7.64649	4	86	1840
103041481	46.96499	7.45945	3.5	75	1580
103042026	47.5107021	8.5454997	4.5	128	2545
103042030	47.5105142	8.5455695	4.5	115	2550
103042144	47.4416164	7.5837509	3	66	1395
103042578	47.539843	7.5947626	3.5	69	1640
103044370	47.39033	8.516851	1.5	135	4500
103046170	47.505997	9.406283	4.5	113	1910
103046437	47.125152	9.492524	4.5	98	1660
103047529	47.3220072	8.6594552	2	50	1950
103052244	47.56957	8.323809	4.5	100	1840
103056061	47.541282	7.556049	3.5	119	2280
103056666	47.517723	7.681047	6	155	2990
103056886	47.325611	7.898406	5	110	1760
103057685	47.423128	8.411526	4.5	132	2840
103059769	47.146532	7.257151	2	49	945
103060603	47.2098881	7.5267362	6	97	2600
103061062	47.508161	7.720935	4	72	1540
103061064	47.508161	7.720935	3	56	1210
103062901	47.3738896	8.5179365	2.5	76	3290
103064000	47.146324	7.256718	2	49	973
103065485	46.46258	6.33868	4.5	107	2950
103065860	47.3295085	7.8429303	5.5	135	1810
103067018	47.229124	7.964554	4	103	1420
103067097	47.2100886	7.5231858	3.5	76	1300
103069354	47.5667711	9.1211229	3.5	99	1690
103069356	47.5667711	9.1211229	5.5	128	2070
