z05	b10btot	b10b11	b10b12	b10b21	b10b26	b10b11_p	b10b12_p	b10b21_p	b10b26_p	b16btot	b16b11	b16b12	b16b21	b16b26	b16b11_p	b16b12_p	b16b21_p	b16b26_p
1	5043	4287	866	3959	1236	85.01	17.17	78.50	24.51	5571	4580	1089	4148	1565	82.21	19.55	74.46	28.09
2.1	8095	5870	2257	5472	2658	72.51	27.88	67.60	32.84	8621	6057	2592	5601	3052	70.26	30.07	64.97	35.40
2.2	6386	5348	1123	5038	1447	83.75	17.59	78.89	22.66	6753	5537	1305	5189	1653	81.99	19.32	76.84	24.48
3	5511	4791	758	4503	1053	86.94	13.75	81.71	19.11	5747	4930	852	4556	1224	85.78	14.83	79.28	21.30
4	5239	4707	666	4465	941	89.85	12.71	85.23	17.96	5601	4879	839	4633	1131	87.11	14.98	82.72	20.19
9	6681	5931	851	5656	1168	88.77	12.74	84.66	17.48	7439	6342	1202	6012	1543	85.25	16.16	80.82	20.74
10	7064	6010	1171	5732	1450	85.08	16.58	81.14	20.53	7654	6337	1420	6029	1736	82.79	18.55	78.77	22.68
14	5208	4580	700	4210	1056	87.94	13.44	80.84	20.28	5843	4916	999	4477	1406	84.13	17.10	76.62	24.06
27	4974	4012	1014	3821	1225	80.66	20.39	76.82	24.63	5061	3964	1159	3725	1388	78.32	22.90	73.60	27.43
28	6334	5774	724	5505	1010	91.16	11.43	86.91	15.95	6539	5888	804	5561	1137	90.04	12.30	85.04	17.39
30	7208	6364	1009	5940	1469	88.29	14.00	82.41	20.38	7287	6303	1131	5870	1610	86.50	15.52	80.55	22.09
34	5248	4713	682	4467	960	89.81	13.00	85.12	18.29	5470	4801	820	4524	1117	87.77	14.99	82.71	20.42
52.1	5371	4097	1301	3802	1600	76.28	24.22	70.79	29.79	5448	4013	1461	3689	1799	73.66	26.82	67.71	33.02
52.2	5713	4442	1303	4102	1642	77.75	22.81	71.80	28.74	6113	4754	1383	4246	1895	77.77	22.62	69.46	31.00
53.1	6216	4842	1390	4464	1780	77.90	22.36	71.81	28.64	6903	5238	1681	4726	2201	75.88	24.35	68.46	31.88
53.2	5912	4108	1839	3806	2140	69.49	31.11	64.38	36.20	6227	4091	2156	3776	2470	65.70	34.62	60.64	39.67
53.3	5256	4227	1071	3856	1438	80.42	20.38	73.36	27.36	5607	4319	1317	3958	1686	77.03	23.49	70.59	30.07
54	7055	5463	1644	4932	2170	77.43	23.30	69.91	30.76	7297	5527	1817	4927	2402	75.74	24.90	67.52	32.92
