"","Z05","NAME","PLUGER","PLUFRA","PLUITA","PLURUM","PLUENG","PLUOTH","PLU2GF","PLU2GI","PLU2GR","PLU2GE","PLU2GO","PLU2FI","PLU2FE","PLU2FO","PLU2IE","PLU2IO","PLU2RO","PLU2EO","PLU2OTH","PLU3M","LOCGER","LOCFRA","LOCITA","LOCRUM","LOCENG","LOCALB","LOCSRC","LOCSPA","LOCPOR","LOCTUR","PFNONE","PFOBL","PFGEN","PFPROF","PFMAT","PFPRSF","PFPRSS","PFBAC","PFMAS","PFPHD","PFS","PFPRES","AD","ADO","ADUNE","NADFM","NADHO","NADRET","NADINV","NADOTH","ADM","ADF","ADOM","ADOF","ADFO","ADPO","ADPO79","ADPO57","ADPO05","ADFOM","ADFOF","ADPOM","ADPOF","ADPO79M","ADPO79F","ADPO57M","ADPO57F","ADPO05M","ADPO05F","ADUNEM","ADUNEF","NADFMM","NADFMF","NADHOM","NADHOF","NADRETM","NADRETF","NADINVM","NADINVF","NADOTHM","NADOTHF","ADH0105","ADH0619","ADH2034","ADH3539","ADH4044","ADH4549","ADH50M","ADSDIR","ADSLIB","ADSSBO","ADSIND","ADSMGKN","ADSINT","ADSEMPL","ADSWORK","ADSNQ","ADSAPPR","ADFPROD","ADFSERV","ADFCARE","ADFPROF","ADFEDU","ADFCREA","AD3PRIM","AD3SEC","AD3TERT","ADD1AGR","ADD2EXT","ADD2BAS","ADD2HEA","ADD2LIT","ADD2IS","ADD2CST","ADD3TRD","ADD3TRS","ADD3ACC","ADD3IT","ADD3FIN","ADD3RE","ADD3PRO","ADD3SUP","ADD3ADM","ADD3EDU","ADD3HC","ADD3SOC","ADD3REC","ADD3PER"
"1164",5841,"Enhaut",187,2611,17,0,126,283,172,0,7,0,8,16,74,166,0,0,0,4,8,132,435,3159,56,11,282,48,5,55,345,6,85,971,335,1294,264,292,95,151,222,41,492,234,2429,2355,74,145,159,935,79,60,1346,1083,1306,1049,1669,686,195,192,299,1179,490,127,559,40,155,37,155,50,249,40,34,57,88,0,159,360,575,40,39,26,34,65,246,372,78,815,276,290,11,45,176,277,198,439,408,302,405,104,755,958,107,191,81,118,158,398,1367,158,0,125,4,25,12,232,268,71,187,21,59,48,123,83,95,102,168,70,25,47
"1176",5888,"Saint-Légier-La Chiésaz",170,2701,41,0,240,200,210,0,0,12,0,56,102,182,9,4,0,43,9,157,467,3395,121,4,539,35,22,154,112,0,29,555,261,1159,429,387,185,335,637,140,804,227,2538,2438,100,448,267,791,40,57,1378,1160,1323,1115,1724,714,198,252,264,1202,522,121,593,43,155,20,232,58,206,55,45,216,232,0,267,369,422,28,12,33,24,73,174,427,87,1066,249,275,106,126,115,104,570,607,462,141,126,85,249,871,197,569,214,273,32,292,1866,32,0,69,20,91,12,100,239,87,93,65,211,23,311,98,117,188,205,129,28,72
"1121",5602,"Bourg-en-Lavaux",145,2896,36,0,97,197,198,0,0,8,7,77,115,190,0,4,0,16,0,155,452,3624,166,0,344,4,42,103,194,0,48,623,318,1084,369,295,172,324,646,222,470,246,2641,2536,105,337,196,858,42,69,1461,1180,1404,1132,1751,785,262,236,287,1204,547,200,585,67,195,48,188,85,202,57,48,176,161,4,192,332,526,21,21,22,47,55,219,458,105,913,252,406,61,196,171,161,602,532,411,141,185,79,371,770,233,505,197,360,119,229,1830,119,0,61,16,73,13,66,359,32,96,85,164,36,258,85,90,164,234,103,36,88
"1160",5793,"Oron",38,3267,16,0,31,232,155,0,0,12,10,64,50,228,0,0,0,4,4,96,247,3860,92,0,165,62,32,62,275,4,55,939,363,1515,222,292,169,212,331,83,639,325,2916,2740,176,276,202,733,56,37,1541,1375,1448,1292,1928,812,244,293,275,1334,594,114,698,53,191,29,264,32,243,93,83,143,133,0,202,362,371,24,32,21,16,32,228,511,105,1196,289,237,50,78,108,161,388,627,581,266,361,119,586,1103,219,359,135,248,97,472,1896,97,0,78,16,157,31,190,394,101,80,78,91,35,161,107,187,150,215,165,46,86
"1140",5678,"Moudon",43,2214,33,0,8,661,77,0,0,0,4,122,31,679,0,4,0,14,18,144,151,3263,188,0,113,294,47,247,675,79,173,1429,399,1165,216,181,112,98,182,30,553,304,2555,2367,188,267,219,763,153,104,1435,1120,1350,1017,1814,553,187,166,200,1267,547,83,470,32,155,18,148,33,167,85,103,132,135,9,210,309,454,91,62,49,55,18,184,324,75,1262,228,151,24,27,71,106,199,423,407,222,684,202,698,1032,112,189,71,135,52,559,1459,52,0,129,64,86,27,253,374,113,109,48,67,17,118,94,95,83,130,143,20,48
"1077",5518,"Echallens",42,3320,45,0,16,327,113,0,0,0,0,114,41,287,0,4,0,0,17,77,183,3947,180,0,94,69,71,108,257,19,81,1002,406,1594,340,338,132,175,272,32,763,243,3017,2872,145,345,183,719,99,34,1570,1447,1517,1355,1927,945,260,317,368,1378,549,139,806,36,224,37,280,66,302,53,92,182,163,4,179,327,392,47,52,8,26,67,281,550,113,1362,237,129,12,44,79,111,371,655,714,391,330,171,515,1358,168,317,169,251,55,397,2040,55,0,67,31,112,9,178,381,142,144,87,149,39,174,112,192,113,181,183,34,109
"1137",5646,"Saint-Prex",87,2593,100,0,96,453,159,4,0,4,4,105,109,344,4,0,0,13,4,219,351,3513,245,4,388,67,40,140,508,9,98,944,368,1071,361,316,144,221,588,142,542,346,2913,2766,147,317,184,773,50,59,1464,1449,1393,1373,1984,782,249,266,267,1274,710,119,663,32,217,24,242,63,204,71,76,159,158,8,176,311,462,38,12,25,34,66,185,492,112,1256,274,235,65,99,80,112,546,649,504,170,461,84,417,1156,121,509,143,306,42,388,1983,42,0,40,111,97,19,121,523,93,69,82,255,29,204,115,80,166,118,144,40,65
"1239",6300,"Zermatt",2731,117,149,0,93,643,103,49,0,78,163,0,17,28,0,37,0,19,21,211,3307,378,308,0,320,50,138,74,639,9,116,1170,448,1383,378,432,131,165,149,33,392,168,3438,3376,62,261,114,619,8,21,1844,1594,1824,1552,2808,568,140,131,297,1696,1112,128,440,18,122,18,113,92,205,20,42,140,121,0,114,301,318,8,0,17,4,64,197,266,78,1619,544,264,74,31,194,188,132,894,768,317,711,78,422,1698,125,496,70,290,23,185,2668,23,0,35,0,18,58,74,511,329,1221,54,42,17,92,40,67,86,33,76,66,34
"1236",6292,"Mattertal",3318,24,26,0,0,417,64,34,0,25,110,0,0,0,0,37,0,20,9,41,3576,121,129,0,54,98,131,21,276,0,100,1050,388,1744,219,284,34,132,99,18,417,194,2801,2705,96,218,305,721,58,30,1722,1079,1661,1044,2215,490,72,113,305,1590,625,71,419,25,47,18,95,28,277,61,35,80,138,8,297,295,426,25,33,22,8,80,217,178,84,1432,384,120,29,32,150,81,140,544,582,634,333,182,908,1056,89,303,71,128,63,719,1597,63,0,59,0,332,17,311,327,296,388,9,69,8,88,72,74,50,45,114,15,42
"1216",6159,"Vouvry-Vionnaz",80,3859,62,0,16,322,136,0,0,10,0,130,62,369,10,0,0,0,9,62,243,4619,220,0,115,126,107,78,328,0,97,1099,640,1979,380,282,130,186,267,25,695,423,3435,3222,213,228,271,998,124,76,1698,1737,1610,1612,2213,1009,236,421,352,1525,688,85,924,53,183,17,404,15,337,88,125,125,103,7,264,456,542,69,55,44,32,56,282,691,148,1485,294,151,52,39,89,130,288,813,769,365,481,201,756,1453,253,278,90,267,82,737,2073,82,8,32,169,151,66,311,489,73,151,69,118,41,168,150,160,140,216,210,41,47
